university	name	paper_count	affiliation_status	affiliations	topics	paper_ids	paper_titles	paper_years
KK	Khalil Israfilzade	2	confirmed	Kauno kolegija Higher Education Institution	Artificial intelligence; Computer science; Data science; Epistemology; Generative grammar; Linguistics; Marketing; Sociology	W4391676703; W4413181039	Beyond interaction: Generative AI in conversational marketing - foundations, developments, and future directions; The Role of Generative Artificial Intelligence in E-Commerce: Trends, Challenges and Opportunities	2024; 2025
KK	Ioseb Gabelaia	2	confirmed	Kaunas kolegija Higher Education Institution; Kauno kolegija Higher Education Institution; RISEBA University of Business, Arts and Technology	Artificial intelligence; Business; Computer science; Dynamics (music); Engineering; Gig economy; Knowledge management; Psychology	W4411641989; W4397032894	Modern Slavery in the Gig Economy: Analysing the Exploitation of Gig and Freelance Workers through AI-Driven Communication Strategies and Automated Surveillance; Exploring the Intersections of Artificial Intelligence, Organizational Behavior, and Communication Dynamics in the Modern Workplace	2025; 2024
KK	Ramunė Bagočiūnaitė	2	confirmed	Kaunas kolegija Higher Education Institution; Kauno kolegija Higher Education Institution	Artificial intelligence; Business; Computer science; Dynamics (music); Engineering; Gig economy; Knowledge management; Psychology	W4411641989; W4397032894	Modern Slavery in the Gig Economy: Analysing the Exploitation of Gig and Freelance Workers through AI-Driven Communication Strategies and Automated Surveillance; Exploring the Intersections of Artificial Intelligence, Organizational Behavior, and Communication Dynamics in the Modern Workplace	2025; 2024
KK	Viktorija Navickienė	2	confirmed	Kaunas kolegija Higher Education Institution; Kauno kolegija Higher Education Institution	Artificial intelligence; Business; Computer science; Dynamics (music); Engineering; Gig economy; Knowledge management; Psychology	W4411641989; W4397032894	Modern Slavery in the Gig Economy: Analysing the Exploitation of Gig and Freelance Workers through AI-Driven Communication Strategies and Automated Surveillance; Exploring the Intersections of Artificial Intelligence, Organizational Behavior, and Communication Dynamics in the Modern Workplace	2025; 2024
KK	Lina Šarlauskienė	1	confirmed	Kaunas kolegija Higher Education Institution	Business; Computer science; European union; Field (mathematics); Knowledge management; Management science; Selection (genetic algorithm); Software deployment; Transformative learning	W4400460850	Criteria for selecting artificial intelligence tools	2024
KK	Samanta Dagytė	1	confirmed	Kaunas kolegija Higher Education Institution	Business; Computer science; European union; Field (mathematics); Knowledge management; Management science; Selection (genetic algorithm); Software deployment; Transformative learning	W4400460850	Criteria for selecting artificial intelligence tools	2024
KK	Violeta Vasiliauskienė	1	confirmed	Kaunas kolegija Higher Education Institution	Business; Computer security; National security; Public relations	W4411160104	BUSINESS ACTIONS POSING THREAT TO NATIONAL SECURITY	2025
KK	Anželika Banevičienė	1	confirmed	Kaunas kolegija Higher Education Institution	Business; Computer security; National security; Public relations	W4411160104	BUSINESS ACTIONS POSING THREAT TO NATIONAL SECURITY	2025
KK	Vykintas Stumbrys	1	confirmed	Kaunas kolegija Higher Education Institution	Business; Computer security; National security; Public relations	W4411160104	BUSINESS ACTIONS POSING THREAT TO NATIONAL SECURITY	2025
KK	Lina Kankevičienė	1	confirmed	Kauno kolegija Higher Education Institution	Affect (linguistics); Analytics; Consumer behaviour; Credibility; Customer engagement; Experiential learning; Marketing; Metaverse; Perception; Psychology	W7131878786	Experiential Metaverse Marketing	2026
KK	M. Fazail Basharat	1	confirmed	Kaunas kolegija Higher Education Institution	Corporate governance; Criminal justice; Criminal law; Economic Justice; Enforcement; Law; Law enforcement; Legislature; Political science; Public administration	W4410293916	National Policy and Legislative Framework for AI Governance in Law Enforcement Agencies and Criminal Justice System of Pakistan	2025
KK	Nouman Sajid	1	confirmed	Kaunas kolegija Higher Education Institution	Corporate governance; Criminal justice; Criminal law; Economic Justice; Enforcement; Law; Law enforcement; Legislature; Political science; Public administration	W4410293916	National Policy and Legislative Framework for AI Governance in Law Enforcement Agencies and Criminal Justice System of Pakistan	2025
KK	Syed Manzoor Hussain Shah	1	confirmed	Kaunas kolegija Higher Education Institution	Corporate governance; Criminal justice; Criminal law; Economic Justice; Enforcement; Law; Law enforcement; Legislature; Political science; Public administration	W4410293916	National Policy and Legislative Framework for AI Governance in Law Enforcement Agencies and Criminal Justice System of Pakistan	2025
KK	Syed Ghafoor Abbas Kazmi	1	confirmed	Kaunas kolegija Higher Education Institution	Corporate governance; Criminal justice; Criminal law; Economic Justice; Enforcement; Law; Law enforcement; Legislature; Political science; Public administration	W4410293916	National Policy and Legislative Framework for AI Governance in Law Enforcement Agencies and Criminal Justice System of Pakistan	2025
KK	Dalia Perkumienė	1	unconfirmed	Kaunas kolegija Higher Education Institution; Alytus College	Business; Computer science; Engineering; Environmental planning; Environmental resource management; Sustainability; Sustainable management	W4410858606	Artificial Intelligence Technologies as Smart Solutions for Sustainable Protected Areas Management	2025
KK	Larbi Safaa	1	unconfirmed	Kaunas kolegija Higher Education Institution; Alytus College	Business; Computer science; Engineering; Environmental planning; Environmental resource management; Sustainability; Sustainable management	W4410858606	Artificial Intelligence Technologies as Smart Solutions for Sustainable Protected Areas Management	2025
TAMK	Laura Aliisa Saarimäki	2	confirmed	Tampere University of Applied Sciences	Biochemical engineering; Computational biology; Computer science; Environmental science; Risk analysis (engineering)	W4405791036; W4409015978	CompSafeNano project: NanoInformatics approaches for safe-by-design nanomaterials; INSIGHT: An integrated framework for safe and sustainable chemical and material assessment	2024; 2025
