keep,university,openalex_id,doi,title,authors,affiliations,publication_year,cited_by_count,is_open_access,pdf_url,source,language,abstract
yes,USPN,W2889142411,https://doi.org/10.1055/s-0038-1667078,"As Ontologies Reach Maturity, Artificial Intelligence Starts Being Fully Efficient: Findings from the Section on Knowledge Representation and Management for the Yearbook 2018",Ferdinand Dhombres; Jean Charlet; Section Editors for the IMIA Yearbook Section on Knowledge Representation and Management,Hôpital Armand-Trousseau; Assistance Publique – Hôpitaux de Paris; Inserm; Université Sorbonne Paris Nord; Sorbonne Université; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; Sorbonne Paris Cité; Université Paris Cité,2018,11,True,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0038-1667078.pdf,Yearbook of Medical Informatics,en,"Ontologies are demonstrating their maturity to integrate medical data and begin to support clinical practices. New challenges have emerged: the query on distributed semantically annotated datasets, the efficiency of semantic annotation processes, the semantic representation of large textual datasets, the control of biases associated with semantic annotations, and the computation of Bayesian indicators on data annotated with ontologies."
yes,USPN,W4283790509,https://doi.org/10.1609/aaai.v36i7.20760,Clustering Approach to Solve Hierarchical Classification Problem Complexity,Aomar Osmani; Massinissa Hamidi; Pegah Alizadeh,Centre National de la Recherche Scientifique; Pôle Universitaire Léonard de Vinci; Université Sorbonne Paris Nord,2022,5,True,https://ojs.aaai.org/index.php/AAAI/article/download/20760/20519,Proceedings of the AAAI Conference on Artificial Intelligence,en,"In a large domain of classification problems for real applications, like human activity recognition, separable spaces between groups of concepts are easier to learn than each concept alone. This is because the search space biases required to separate groups of classes (or concepts) are more relevant than the ones needed to separate classes individually. For example, it is easier to learn the activities related to the body movements group (running, walking) versus ""on-wheels"" activities group (bicycling, driving a car), before learning more specific classes inside each of these groups. Despite the obvious interest of this approach, our theoretical analysis shows a high complexity for finding an exact solution. We propose in this paper an original approach based on the association of clustering and classification approaches to overcome this limitation. We propose a better approach to learn the concepts by grouping classes recursively rather than learning them class by class. We introduce an effective greedy algorithm and two theoretical measures, namely cohesion and dispersion, to evaluate the connection between the clusters and the classes. Extensive experiments on the SHL dataset show that our approach improves classification performances while reducing the number of instances used to learn each concept."
yes,USPN,W4413982344,https://doi.org/10.1145/3765759,Efficient Client Selection for Asynchronous Federated Learning for Adaptive Bitrate Streaming,Yi Jie Wong; Mau‐Luen Tham; Ban-Hoe Kwan; Yoong Choon Chang; Anissa Mokraoui; Feng Ke,Université Sorbonne Paris Nord; Universiti Tunku Abdul Rahman; South China University of Technology,2025,0,True,https://dl.acm.org/doi/pdf/10.1145/3765759,ACM Transactions on Multimedia Computing Communications and Applications,en,"Recently, Deep Reinforcement Learning (DRL) has been applied to enhance the Quality of Experience (QoE) of Adaptive Bitrate Streaming (ABR) by adjusting the video quality level in real time based on instantaneous network conditions. To build a state-of-the-art DRL-based ABR (DRLABR) algorithm, it must learn from the clients’ actual network and video streaming behavior. However, collecting such data directly from clients introduces several challenges, including privacy concerns, high bandwidth consumption, and the straggler effect—where poor network conditions of certain clients delay the training process, as DRLABR’s performance is highly dependent on network interactions. To overcome these limitations, we propose a decentralized training approach for DRLABR using a Federated Learning (FL) framework. Instead of gathering raw data, clients train their local DRLABR models independently and send only model updates to the central server. To address the straggler issue, we propose to desynchronize the FL update rules, allowing clients to contribute their model updates at their own pace, regardless of varying network conditions. In addition, we design a DRL-based client selection mechanism to prevent oversampling of high-bandwidth clients, which could lead to model divergence, thereby ensuring balanced participation and improving the overall training efficiency. We validate our approach through a comprehensive simulation encompassing diverse video content and real-world network traces, simulating a wide range of streaming activities. Our results show that the proposed framework significantly outperforms conventional FedAvg and FedAsync methods, achieving the highest average QoE score of 2.02 and reducing the total training latency by 21.26%."
yes,USPN,W4387456745,https://doi.org/10.21203/rs.3.rs-3405428/v1,Unsupervised physics-informed neural network in reaction-diffusion biology models (Ulcerative colitis and Crohn’s disease cases) A preliminary study,Ahmed Rebaï; Louay Boukhris; Radhi Toujani; Ahmed Gueddiche; Fayad Ali Banna; Fares Souissi; Ahmed Lasram; Elyes Ben Rayana; Hatem Zaag,"Sorbonne Université; Laboratoire Analyse, Géométrie et Applications; Centre National de la Recherche Scientifique; Université Sorbonne Paris Nord",2023,4,True,https://www.researchsquare.com/article/rs-3405428/latest.pdf,Research Square (Research Square),en,"<title>Abstract</title> We propose to explore the potential of physics-informed neural networks (PINNs) in solving a class of partial differential equations (PDEs) used to model the propagation of chronic inflammatory bowel diseases, such as Crohn’s disease and ulcerative colitis. An unsupervised approach was privileged during the deep neural network training. Given the complexity of the underlying biological system, characterized by intricate feedback loops and limited availability of high-quality data, the aim of this study is to explore the potential of PINNs in solving PDEs. In addition to providing this exploratory assessment, we also aim to emphasize the principles of reproducibility and transparency in our approach, with a specific focus on ensuring the robustness and generalizability through the use of artificial intelligence. We will quantify the relevance of the PINN method with several linear and non-linear PDEs in relation to biology. However, it is important to note that the final solution is dependent on the initial conditions, chosen boundary conditions, and neural network architectures."
yes,USPN,W4416930780,https://doi.org/10.47738/jdmdc.v2i4.47,Uncovering Key Service Improvement Areas in Digital Finance: A Topic Modeling Approach Using LDA on User Reviews,Jalel Ben‐Othman,Université Sorbonne Paris Nord,2025,0,True,https://jdmdc.com/index.php/JDMDC/article/download/47/36,Journal of Digital Market and Digital Currency.,,"The rapid expansion of digital finance has transformed the way financial services are accessed and utilized, particularly in emerging markets such as Indonesia. This study aims to uncover key service improvement areas within the Easycash mobile lending platform by analyzing user reviews through topic modeling using Latent Dirichlet Allocation (LDA). The research employed a data-driven approach, combining text preprocessing in Bahasa Indonesia using the Sastrawi library, TF-IDF vectorization, and sentiment classification with machine learning models including Naive Bayes, K-Nearest Neighbors (KNN), and XGBoost. The XGBoost model achieved the highest performance with an F1-score of 0.9709, effectively distinguishing between positive, neutral, and negative sentiments. LDA analysis identified five major topics: Loan Limits and Repayment, Customer Gratitude and Satisfaction, Loan Application Process and Interest Rates, App Quality and Customer Service, and Data Management and Account Issues. Results indicate that while Easycash users generally express positive sentiment toward ease of use and service speed, concerns persist regarding high interest rates, customer service responsiveness, and data privacy. These findings provide actionable insights for fintech companies to enhance user satisfaction through targeted service improvements and continuous feedback analysis."
yes,USPN,W4200187044,https://doi.org/10.1038/s41598-021-03165-3,Proof of concept and development of a couple-based machine learning model to stratify infertile patients with idiopathic infertility,Guillaume Bachelot; Rachel Lévy; Anne Bachelot; Céline Faure; Sébastien Czernichow; Charlotte Dupont; Antonin Lamazière; Isabelle Aknin; Isabelle Cédrin‐Durnerin; Steven Cens; Nathalie di Clemente; Jean‐Louis Guéant; Serge Herçberg; Yoann Lalatonne; Chrystèle Racine; Nathalie Sermondade; Angéla Sutton; Claude Uthurriague; Jean-Philippe Wolf; Alain Favier; Alain Favier,Centre Hospitalier De Pau; Hôpital Cochin; Hôpital Européen Georges-Pompidou; Sorbonne Université; Assistance Publique – Hôpitaux de Paris; Inserm; Université Sorbonne Paris Nord; Conservatoire National des Arts et Métiers; Equipe de Recherche en Epidémiologie Nutritionnelle; Hôpital Jean-Verdier; Université de Lorraine; Centre de Recherche Épidémiologie et Statistique; Hôpital Tenon; Université Paris Cité; Centre de Recherche Saint-Antoine; Sorbonne Paris Cité; Hôpital Nord,2021,16,True,https://www.nature.com/articles/s41598-021-03165-3.pdf,Scientific Reports,en,"We aimed to develop and evaluate a machine learning model that can stratify infertile/fertile couples on the basis of their bioclinical signature helping the management of couples with unexplained infertility. Fertile and infertile couples were recruited in the ALIFERT cross-sectional case-control multicentric study between September 2009 and December 2013 (NCT01093378). The study group consisted of 97 infertile couples presenting a primary idiopathic infertility (> 12 months) from 4 French infertility centers compared with 100 fertile couples (with a spontaneously conceived child (< 2 years of age) and with time to pregnancy < 12 months) recruited from the healthy population of the areas around the infertility centers. The study group is comprised of 2 independent sets: a development set (n = 136 from 3 centers) serving to train the model and a test set (n = 61 from 1 center) used to provide an unbiased validation of the model. Our results have shown that: (i) a couple-modeling approach was more discriminant than models in which men's and women's parameters are considered separately; (ii) the most discriminating variables were anthropometric, or related to the metabolic and oxidative status; (iii) a refined model capable to stratify fertile vs. infertile couples with accuracy 73.8% was proposed after the variables selection (from 80 to 13). These influential factors (anthropometric, antioxidative, and metabolic signatures) are all modifiable by the couple lifestyle. The model proposed takes place in the management of couples with idiopathic infertility, for whom the decision-making tools are scarce. Prospective interventional studies are now needed to validate the model clinical use.Trial registration: NCT01093378 ALIFERT https://clinicaltrials.gov/ct2/show/NCT01093378?term=ALIFERT&rank=1 . Registered: March 25, 2010."
yes,USPN,W3118842101,https://doi.org/10.3389/fnins.2020.588357,Hyperscanning EEG and Classification Based on Riemannian Geometry for Festive and Violent Mental State Discrimination,Cédric Simar; Ana-Maria Cebolla; Gaëlle Chartier; Mathieu Petieau; Gianluca Bontempi; Alain Berthoz; Guy Chéron,Université Libre de Bruxelles; Centre National de la Recherche Scientifique; Université Sorbonne Paris Nord; Centre Interdisciplinaire de Recherche en Biologie; Collège de France; University of Mons,2020,15,True,https://www.frontiersin.org/articles/10.3389/fnins.2020.588357/pdf,Frontiers in Neuroscience,en,"Interactions between two brains constitute the essence of social communication. Daily movements are commonly executed during social interactions and are determined by different mental states that may express different positive or negative behavioral intent. In this context, the effective recognition of festive or violent intent before the action execution remains crucial for survival. Here, we hypothesize that the EEG signals contain the distinctive features characterizing movement intent already expressed before movement execution and that such distinctive information can be identified by state-of-the-art classification algorithms based on Riemannian geometry. We demonstrated for the first time that a classifier based on covariance matrices and Riemannian geometry can effectively discriminate between neutral, festive, and violent mental states only on the basis of non-invasive EEG signals in both the actor and observer participants. These results pave the way for new electrophysiological discrimination of mental states based on non-invasive EEG recordings and cutting-edge machine learning techniques."
yes,USPN,W4313507626,https://doi.org/10.1101/2022.12.31.522367,The bacterial genetic determinants of <i>Escherichia coli</i> capacity to cause bloodstream infections in humans,Judit Burgaya; Julie Marin; Guilhem Royer; Bénédicte Condamine; Benoît Gachet; Olivier Clermont; Françoise Jauréguy; Charles Burdet; A. Lefort; Victoire de Lastours; Érick Denamur; Marco Galardini; François Blanquart; the Colibafi/Septicoli and Coliville groups,Helmholtz Centre for Infection Research; Center for Experimental and Clinical Infection Research; Université Paris Sciences et Lettres; CNR de la Résistance aux Antibiotiques; Sorbonne Université; Inserm; Université Sorbonne Paris Nord; Centre National de la Recherche Scientifique; Medizinische Hochschule Hannover; Hôpitaux Universitaires Henri-Mondor; Institut Pasteur; Nord University; Assistance Publique – Hôpitaux de Paris; Centre Interdisciplinaire de Recherche en Biologie; Collège de France; Hôpital Bichat-Claude-Bernard; Sorbonne Paris Cité; Université Paris Cité,2023,3,True,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2022.12.31.522367.full.pdf,,en,"Abstract Escherichia coli is both a highly prevalent commensal and a major opportunistic pathogen causing bloodstream infections (BSI). A systematic analysis characterizing the genomic determinants of extra-intestinal pathogenic vs. commensal isolates in human populations, which could inform mechanisms of pathogenesis, diagnostics, prevention and treatment is still lacking. We used a collection of 1282 BSI and commensal E. coli isolates collected in France over a 17-year period (2000-2017) and we compared their pangenomes, genetic backgrounds (phylogroups, STs, O groups), presence of virulence-associated genes (VAGs) and antimicrobial resistance genes, finding significant differences in all comparisons between commensal and BSI isolates. A machine learning linear model trained on all the genetic variants derived from the pangenome and controlling for population structure reveals similar differences in VAGs, discovers new variants associated with pathogenicity (capacity to cause BSI), and accurately classifies BSI vs. commensal strains. Pathogenicity is a highly heritable trait, with up to 69% of the variance explained by bacterial genetic variants. Lastly, complementing our commensal collection with an older collection from 1980, we predict that pathogenicity increased steadily from 23% in 1980 to 46% in 2010. Together our findings imply that E. coli exhibit substantial genetic variation contributing to the transition between commensalism and pathogenicity and that this species evolved towards higher pathogenicity."
yes,USPN,W4414915530,https://doi.org/10.1093/narcan/zcaf036,Reference-free RNA profiling predicts triple negative breast cancer chemoresistance to neoadjuvant treatment,Nouritza Torossian; Marc Gabriel; Panagiotis Papoutsoglou; Dominika Foretek; Camille Brochard; M. Kamal; Linda Ramdani; Constance Lamy; Charlotte Lecerf; Maral Halladjian; Célia Dupain; Josiane Lafleur; Adriana Aguilar‐Mahecha; Mark Basik; Anne Vincent‐Salomon; C. Le Tourneau; Sergio Roman‐Roman; Daniel Gautheret; Antonin Morillon,Jewish General Hospital; CEA Paris-Saclay; Université Paris Sciences et Lettres; Université Paris-Saclay; Sorbonne Université; Centre National de la Recherche Scientifique; Université Sorbonne Paris Nord; Institut Curie; Institut de Biologie Intégrative de la Cellule; McGill University; International Drug Development; Commissariat à l'Énergie Atomique et aux Énergies Alternatives,2025,2,True,https://doi.org/10.1093/narcan/zcaf036,NAR Cancer,en,"Triple negative breast cancer (TNBC) is the most aggressive breast cancer (BC) and often affects young women. TNBCs are highly heterogeneous and do not benefit from personalized medicine at localized stages. Most TNBC patients undergo neoadjuvant chemotherapy (NAC) before surgery. In case of chemoresistance with residual tumor after NAC, survival is poor despite execution of complete tumor resection. There is currently no clinically useful biomarker to predict TNBC chemoresistance to NAC that would enable targeted therapeutic intensification. We analyzed here a unique cohort of 106 TNBC tumors before NAC, including 58 chemoresistant and 48 chemosensitive cases, from 2 independent hospitals. Using machine learning under a nested cross-validation design, we obtained two transcriptomic signatures respectively generated from standard differential gene expression analysis and reference-free analysis of differential fragments of transcripts, without any annotation bias. This approach resulted in accurate signatures of TNBC chemoresistance to NAC. Gene ontology analyses of reference-free signatures highlighted DNA repair, replication, and metabolism, in agreement with current knowledge of TNBC resistance biology. In summary, these results show the potential of a reference-free generated transcriptomic signature as predictive biomarker of early TNBC chemoresistance."
yes,USPN,W4407071893,https://doi.org/10.1101/2025.01.31.25321452,Optimising covariate allocation at design stage using Fisher Information Matrix for Non-Linear Mixed Effects Models in pharmacometrics,Lucie Fayette; Karl Brendel; France Mentré,Sorbonne Université; Inserm; Université Sorbonne Paris Nord; Ipsen (France); Sorbonne Paris Cité; Université Paris Cité,2025,1,True,https://www.medrxiv.org/content/medrxiv/early/2025/09/24/2025.01.31.25321452.full.pdf,,en,"Abstract This work focuses on designing experiments for pharmacometrics studies analysed by Non-Linear Mixed Effects Models (NLMEM) including covariates to describe inter-individual variability. Co-variate effects may help identify patient subpopulations at risk of sub-therapeutic or toxic responses, for instance when hepatic or renal impairment reduces drug elimination, increasing safety risks. Before collecting and modelling new clinical trial data, choosing an appropriate design is crucial, particularly to ensure sufficient information to estimate covariate effects and their uncertainty. Assuming a known NLMEM with covariate effects and a joint distribution for covariates in the target population from previous clinical studies, we propose to optimise the allocation of covariates among the subjects to be included in a new trial. It aims achieving better overall parameter estimations and therefore increase power of statistical tests on covariate effects to detect the clinical relevance or non-relevance of relationships. We used the Fisher Information Matrix and developed a fast and deterministic computation method, leveraging Gaussian quadrature and copula modelling. We suggested dividing the domain of continuous covariates into clinically meaningful intervals and optimised their proportions, along with the proportion of each category for the discrete covariates. The optimisation problem was formulated as a convex problem subject to linear constraints, allowing resolution using Projected Gradient Descent algorithm. Different scenarios for a pharmacokinetics model including either biological measurements of renal or hepatic function as covariate were explored. We showed that covariate optimisation reduces the number of subjects needed to achieve desired power in covariate tests for relevance or non-relevance. Highlights Fisher Information Matrix in nonlinear mixed effects models (NLMEM) with covariates New computation method of Information Matrix using copula and Gaussian quadrature Optimisation of covariate allocation using partitioning and projected gradient Reduced sample size needed to detect clinically relevant covariate in a PK example"
yes,USPN,W4385481089,https://doi.org/10.1371/journal.pgen.1010842,The bacterial genetic determinants of Escherichia coli capacity to cause bloodstream infections in humans,Judit Burgaya; Julie Marin; Guilhem Royer; Bénédicte Condamine; Benoît Gachet; Olivier Clermont; Françoise Jauréguy; Charles Burdet; A. Lefort; Victoire de Lastours; Érick Denamur; Marco Galardini; François Blanquart; Colibafi/Septicoli & Coliville groups,Helmholtz Centre for Infection Research; Center for Experimental and Clinical Infection Research; Université Paris Sciences et Lettres; Sorbonne Université; Inserm; Université Sorbonne Paris Nord; Centre National de la Recherche Scientifique; Medizinische Hochschule Hannover; Assistance Publique – Hôpitaux de Paris; Institut Pasteur; Collège de France; Centre Interdisciplinaire de Recherche en Biologie; Hôpital Bichat-Claude-Bernard; Université Paris Cité,2023,27,True,https://doi.org/10.1371/journal.pgen.1010842,PLoS Genetics,en,"Escherichia coli is both a highly prevalent commensal and a major opportunistic pathogen causing bloodstream infections (BSI). A systematic analysis characterizing the genomic determinants of extra-intestinal pathogenic vs. commensal isolates in human populations, which could inform mechanisms of pathogenesis, diagnostic, prevention and treatment is still lacking. We used a collection of 912 BSI and 370 commensal E. coli isolates collected in France over a 17-year period (2000-2017). We compared their pangenomes, genetic backgrounds (phylogroups, STs, O groups), presence of virulence-associated genes (VAGs) and antimicrobial resistance genes, finding significant differences in all comparisons between commensal and BSI isolates. A machine learning linear model trained on all the genetic variants derived from the pangenome and controlling for population structure reveals similar differences in VAGs, discovers new variants associated with pathogenicity (capacity to cause BSI), and accurately classifies BSI vs. commensal strains. Pathogenicity is a highly heritable trait, with up to 69% of the variance explained by bacterial genetic variants. Lastly, complementing our commensal collection with an older collection from 1980, we predict that pathogenicity continuously increased through 1980, 2000, to 2010. Together our findings imply that E. coli exhibit substantial genetic variation contributing to the transition between commensalism and pathogenicity and that this species evolved towards higher pathogenicity."
yes,USPN,W3211238343,https://doi.org/10.3390/s21217278,Human Activity Recognition: A Dynamic Inductive Bias Selection Perspective,Massinissa Hamidi; Aomar Osmani,Université Sorbonne Paris Nord; Sorbonne Université; Centre National de la Recherche Scientifique; Laboratoire d'Informatique de Paris-Nord,2021,12,True,https://www.mdpi.com/1424-8220/21/21/7278/pdf?version=1636092895,Sensors,en,"In this article, we study activity recognition in the context of sensor-rich environments. In these environments, many different constraints arise at various levels during the data generation process, such as the intrinsic characteristics of the sensing devices, their energy and computational constraints, and their collective (collaborative) dimension. These constraints have a fundamental impact on the final activity recognition models as the quality of the data, its availability, and its reliability, among other things, are not ensured during model deployment in real-world configurations. Current approaches for activity recognition rely on the activity recognition chain which defines several steps that the sensed data undergo: This is an inductive process that involves exploring a hypothesis space to find a theory able to explain the observations. For activity recognition to be effective and robust, this inductive process must consider the constraints at all levels and model them explicitly. Whether it is a bias related to sensor measurement, transmission protocol, sensor deployment topology, heterogeneity, dynamicity, or stochastic effects, it is essential to understand their substantial impact on the quality of the data and ultimately on activity recognition models. This study highlights the need to exhibit the different types of biases arising in real situations so that machine learning models, e.g., can adapt to the dynamicity of these environments, resist sensor failures, and follow the evolution of the sensors' topology. We propose a metamodeling approach in which these biases are specified as hyperparameters that can control the structure of the activity recognition models. Via these hyperparameters, it becomes easier to optimize the inductive processes, reason about them, and incorporate additional knowledge. It also provides a principled strategy to adapt the models to the evolutions of the environment. We illustrate our approach on the SHL dataset, which features motion sensor data for a set of human activities collected in real conditions. The obtained results make a case for the proposed metamodeling approach; noticeably, the robustness gains achieved when the deployed models are confronted with the evolution of the initial sensing configurations. The trade-offs exhibited and the broader implications of the proposed approach are discussed with alternative techniques to encode and incorporate knowledge into activity recognition models."
yes,USPN,W4225264497,https://doi.org/10.1109/icassp43922.2022.9746906,Multimodal Evaluation Method for Sound Event Detection,Seyed M. R. Modaresi; Aomar Osmani; Mohammadreza Razzazi; Abdelghani Chibani,Université Paris-Est Créteil; Laboratoire d'Informatique de Paris-Nord; Institute for Research in Fundamental Sciences; Centre National de la Recherche Scientifique; Université Sorbonne Paris Nord; Paris-Est Sup; Amirkabir University of Technology,2022,2,False,,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",en,"Time is an important dimension in sound event detection (SED) systems. However, evaluating the performance of SED systems is directly taken from the classical machine learning domain, and they are not well adapted to the needs of these systems such as recognizing the time, duration, detection, and uniformity of sound events. Despite its importance, it is not well-developed yet. Current methods are highly biased by their assumptions and may misleadingly present convincible results. This paper presents a novel multimodal method to evaluate SED systems from multiple perspectives such as detection, total duration, relative duration, and uniformity. Furthermore, the proposed method is simple, time-efficient, visualizable, extensible, open-source, and overcomes the limitations of existing methods. The benefits of the proposed approach are demonstrated by re-evaluating the best systems presented in a known challenge on sound event detection."
yes,USPN,W4362706442,https://doi.org/10.36227/techrxiv.22559473,A review and a tutorial of ML-based MDS technology within a VANET context: From data collection to trained model deployment,Hela Marouane; Abdulhalim Dandoush; Lamine Amour; Aiman Erbad,ESME - École d’ingénieurs pluridisciplinaires; Qatar Science and Technology Park; Hamad bin Khalifa University; Université Sorbonne Paris Nord,2023,2,True,https://www.techrxiv.org/articles/preprint/A_review_and_a_tutorial_of_ML-based_MDS_technology_within_a_VANET_context_From_data_collection_to_trained_model_deployment/22559473/1/files/40029634.pdf,,en,"&lt;p&gt;Recent advances in telecommunication and machine learning (ML) have allowed for new smart and autonomous vehicle applications to improve road safety, environmental conditions, and traffic management through Vehicle to Vehicle (V2V) or Vehicle to Infrastructure (V2I) communication. However, with the rise of advanced cyber-attacks, the authenticity of a message guarantees its source but not its correctness. To mitigate the new sophisticated attacks, new Misbehavior Detection Systems (MDS), that use machine learning algorithms to detect misbehaving vehicles, have been proposed. This work provides first a comprehensive review of recent developments in ML-based MDS technology within a Vehicular Ad-Hoc Network (VANET) context, covering data collection, feature selection, model training, model evaluation and deployment. We survey useful public datasets and summarize recent studies. We report useful pieces of information for every work. In particular, we highlight the considered dataset for ML training, list the selected ML models, indicate the feature selection and dimensionality reduction techniques, recapitulate the main results, report the performance metrics and mention the deployment guidelines when applicable. Then, we compare the surveyed studies discussing not only the strength points but also their limitations. One of the key observations from the surveyed works is the absence of a quantitative analysis of the proposed models' execution time, which is a crucial performance metric considering the limited on-board and edge computing resources. To develop a feasible ML-based MDS for V2X communication, it is essential to address this issue and propose a deployment strategy that optimizes the allocated resources for this technology. However, achieving this remains a challenge.&lt;/p&gt; &lt;p&gt;Moreover, in view of the fact that data generation and analysis are critical phases in this technology. Also, using simulation has many advantages over the real data collection, we provide a tutorial on how realizing a useful dataset collection with popular open-source tools while considering exemplar types of attacks. Last, we demonstrate through the tutorial the use of the collected dataset for ML-based MDS model selection and training. An open source github repository is provided for regenerating the whole explained scenarios and modify according to the given research issue.&lt;/p&gt;"
yes,USPN,W4410447130,https://doi.org/10.3233/shti250581,Practical Approach for Evaluating Machine Learning Anomaly Detection Algorithms for Epidemic Early Warning Systems,Antoine Saab; Abdul Hamid Dabboussi; Cynthia Abi Khalil; Jihane Rahme; Elie Salem Sokhn; Christo El Morr,York University; Sorbonne Université; Inserm; Université Sorbonne Paris Nord; Beirut Arab University; Lebanese Hospital Geitaoui-University Medical Center,2025,1,True,https://ebooks.iospress.nl/pdf/doi/10.3233/SHTI250581,Studies in health technology and informatics,en,"Anomaly detection methods in time series data can play a pivotal role in epidemic surveillance Early Warning Systems (EWS). Statistical and rules-based methods have been traditionally employed in such systems, but are challenged by data dynamics and necessitate expert fine-tuning regularly. On the other hand, machine learning methods can handle complex and multidimensional data better, learn and adapt to changing patterns, and improve their performance. However, practical methodologies for their fitting and evaluation relative to gold standard data for infectious diseases epidemic surveillance are still lacking. In this study, a practical evaluation method was presented using an ensemble technique of four traditional statistical models to build the reference gold standard dataset, and results of validation of two machine learning (LSTM and Isolation Forest) relative to four pathogen data series (COVID19, Hepatitis C, Acinetobacter baumannii and Methicillin-resistant Staphylococcus aureus) was reported with promising results. Lessons learned can be useful in the perspective of adapting ML algorithms to epidemic surveillance EWS."
yes,USPN,W4386594795,https://doi.org/10.1101/2023.09.11.23295069,Collaborative and privacy-preserving workflows on a clinical data warehouse: an example developing natural language processing pipelines to detect medical conditions,Thomas Petit-Jean; Christel Gérardin; Emmanuelle Berthelot; Gilles Châtellier; Marie Frank; Xavier Tannier; Emmanuelle Kempf; Romain Bey,Université Paris Cité; Sorbonne Université; Université Paris-Sud; Assistance Publique – Hôpitaux de Paris; Inserm; Bicêtre Hospital; Université Sorbonne Paris Nord; Hôpital Albert-Chenevier; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; Institut Pierre Louis d‘Épidémiologie et de Santé Publique,2023,1,True,https://www.medrxiv.org/content/medrxiv/early/2023/09/11/2023.09.11.23295069.full.pdf,,en,"A bstract Objective To develop and validate advanced natural language processing pipelines that detect 18 conditions in clinical notes written in French, among which 16 comorbidities of the Charlson index, while exploring a collaborative and privacy-preserving workflow. Materials and methods The detection pipelines relied both on rule-based and machine learning algorithms for named entity recognition and entity qualification, respectively. We used a large language model pre-trained on millions of clinical notes along with clinical notes annotated in the context of three cohort studies related to oncology, cardiology and rheumatology, respectively. The overall workflow was conceived to foster collaboration between studies while complying to the privacy constraints of the data warehouse. We estimated the added values of both the advanced technologies and the collaborative setting. Results The 18 pipelines reached macro-averaged F1-score positive predictive value, sensitivity and specificity of 95.7 (95%CI 94.5 - 96.3), 95.4 (95%CI 94.0 - 96.3), 96.0 (95%CI 94.0 - 96.7) and 99.2 (95%CI 99.0 - 99.4), respectively. F1-scores were superior to those observed using either alternative technologies or non-collaborative settings. The models were shared through a secured registry. Conclusions We demonstrated that a community of investigators working on a common clinical data warehouse could efficiently and securely collaborate to develop, validate and use sensitive artificial intelligence models. In particular, we provided efficient and robust natural language processing pipelines that detect conditions mentioned in clinical notes."
yes,USPN,W4404289464,https://doi.org/10.36001/phmconf.2024.v16i1.3924,Assessing Aircraft Engine Wear through Simulation Techniques,Abdellah Madane; Jérôme Lacaille; Florent Forest; Hanane Azzag; Mustapha Lebbah,Safran (France); Données et algorithmes pour une ville intelligente et durable; Laboratoire d'Informatique de Paris-Nord; International Institute for Management Development; Université Paris-Saclay; Centre National de la Recherche Scientifique; Université Sorbonne Paris Nord; Université de Versailles Saint-Quentin-en-Yvelines; École Polytechnique Fédérale de Lausanne,2024,0,True,http://www.papers.phmsociety.org/index.php/phmconf/article/download/3924/phmc_24_3924,Annual Conference of the PHM Society,en,"In the field of aeronautical engineering, understanding and simulating aircraft engine performance is critical, especially for improving operational safety, efficiency, and sustainability. At Safran Aircraft Engines, we were able to demonstrate the effectiveness of using time series collected from the engines after each flight to build a digital twin that provides a dynamic virtual model able to mirror the real engine’s state by using a transformer-based conditional generative adversarial network. This virtual representation allows for advanced simulations under diverse operational scenarios like flight conditions and controls, aiding in understanding the impact of different factors on engine health. It is, therefore, possible for us to provide virtual flights performed by our engines in their actual state of wear. This research paper presents a machine learning model that effectively simulates and monitors the state of aircraft engines in real-time, enabling us to track the evolution of the engines’ health over their life cycle. The model’s adaptability to incorporate new data ensures its applicability throughout the engine’s lifespan, marking a step forward in proactive aeronautic maintenance and potentially enhancing engine longevity through timely diagnostics and interventions."
yes,USPN,W4405353496,https://doi.org/10.1109/wimob61911.2024.10770457,Gateway Selection in 5G/Wi-Fi Architecture: A Fire Emergency Case Study,Kaouthar Ouali; Thi Mai Trang Nguyen; Mohammad Imran Syed; Anne Fladenmuller; Brigitte Kervella; Nicolas Peugnet,Sorbonne Université; Centre National de la Recherche Scientifique; Université Sorbonne Paris Nord; Université de Picardie Jules Verne,2024,0,True,https://hal.sorbonne-universite.fr/hal-04833387/document,,en,"Public safety and first-responder networks require technologies that outperform current emergency networks. 5G and Wi-Fi architectures seem to be promising solutions for those environments. However, seamless integration of these wireless networks needs to be well investigated to benefit from the advan-tages of both networks and to fulfill the firefighter requirements. For this purpose, we propose a gateway selection algorithm for firefighter interventions. Proximal Policy Optimization, a well-known reinforcement learning strategy, is used to define and train the agent. Simulation results demonstrate that the proposed framework outperforms the Host Network Association scheme defined in the Optimized Link State Routing Protocol in terms of network throughput and packet drop rate."
